Time(UTC+01:00),Futures Trading Pair,Direction,Leverage,Order Type,Order Qty (Cont.),Filled Qty (Cont.),Order Qty (Crypto),Filled Qty (Crypto),Order Qty (Amount),Filled Qty (Amount),Order Price,Average Filled Price,Closing PNL,Trading Fee,Fee-payment Crypto,Status
2025-02-26 01:57:06,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.276,8.276,8.276e-05,8.276e-05,0.0,0,USDT,FINISHED
2025-02-26 02:22:14,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.274,8.274,8.274e-05,8.274e-05,0.002,0,USDT,FINISHED
2025-02-26 02:22:15,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.274,8.274,8.274e-05,8.274e-05,0.0,0,USDT,FINISHED
2025-02-26 02:32:16,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.311,8.311,8.311e-05,8.311e-05,0.037,0,USDT,FINISHED
2025-02-26 02:32:17,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.311,8.311,8.311e-05,8.311e-05,0.0,0,USDT,FINISHED
2025-02-26 03:03:07,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.307,8.307,8.307e-05,8.307e-05,0.004,0,USDT,FINISHED
2025-02-26 03:03:08,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.307,8.307,8.307e-05,8.307e-05,0.0,0,USDT,FINISHED
2025-02-26 03:13:12,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.329,8.329,8.329e-05,8.329e-05,0.022,0,USDT,FINISHED
2025-02-26 03:13:14,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.331,8.331,8.331e-05,8.331e-05,0.0,0,USDT,FINISHED
2025-02-26 03:36:04,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.32,8.32,8.32e-05,8.32e-05,0.011,0,USDT,FINISHED
2025-02-26 03:36:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.32,8.32,8.32e-05,8.32e-05,0.0,0,USDT,FINISHED
2025-02-26 03:46:09,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.374,8.374,8.374e-05,8.374e-05,0.054,0,USDT,FINISHED
2025-02-26 03:46:10,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.374,8.374,8.374e-05,8.374e-05,0.0,0,USDT,FINISHED
2025-02-26 04:46:16,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.429,8.429,8.429e-05,8.429e-05,-0.055,0,USDT,FINISHED
2025-02-26 04:46:18,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.432,8.432,8.432e-05,8.432e-05,0.0,0,USDT,FINISHED
2025-02-26 04:48:13,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.458,8.458,8.458e-05,8.458e-05,0.026,0,USDT,FINISHED
2025-02-26 04:48:14,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.458,8.458,8.458e-05,8.458e-05,0.0,0,USDT,FINISHED
2025-02-26 05:06:10,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.433,8.433,8.433e-05,8.433e-05,0.025,0,USDT,FINISHED
2025-02-26 05:06:11,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.427,8.427,8.427e-05,8.427e-05,0.0,0,USDT,FINISHED
2025-02-26 05:09:03,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.458,8.458,8.458e-05,8.458e-05,0.031,0,USDT,FINISHED
2025-02-26 05:09:04,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.458,8.458,8.458e-05,8.458e-05,0.0,0,USDT,FINISHED
2025-02-26 05:48:09,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.441,8.441,8.441e-05,8.441e-05,0.017,0,USDT,FINISHED
2025-02-26 05:48:11,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.444,8.444,8.444e-05,8.444e-05,0.0,0,USDT,FINISHED
2025-02-26 06:07:03,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.413,8.413,8.413e-05,8.413e-05,-0.031,0,USDT,FINISHED
2025-02-26 06:07:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.413,8.413,8.413e-05,8.413e-05,0.0,0,USDT,FINISHED
2025-02-26 06:38:10,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.362,8.362,8.362e-05,8.362e-05,0.051,0,USDT,FINISHED
